,,Trait,TRAIT2,,,A,C,E,N,O
Unostentatious,,A,E,,unobserv,0.2,-0.11,0.11,-0.1,0.15
Unoyful,,,,,unobtrus,0.37,-0.08,0.24,0.02,0.07
Unpardoning,,,,,unorigin,0.19,-0.12,0.18,-0.18,0.31
Unpartisan,,,,,unostent,0.33,-0.1,0.33,0.08,-0.1
Unpeaceable,,,,,unpardon,-0.14,-0.04,0.16,0.09,0.09
Unperceptive,,O,,,unpartis,0.22,-0.19,0.18,0.08,-0.16
Unpersonable,,E,,,unpeacea,-0.24,-0.13,0.1,-0.02,-0.02
Unpersuadable,,,,,unpercep,0.11,-0.08,0.23,-0.05,0.35
Unpersuasive,,E,,,unperson,0.02,-0.11,0.35,0.09,0.14
Unphilanthropic,,,,,unpersub,0.01,-0.01,0.05,0.24,-0.12
Unphilosophical,,O,,,unpersuv,0.21,-0.06,0.35,0.02,0.16
Unpitying,,N,,,unphilan,0.02,-0.11,0.19,0.1,0.22
Unpleasable,,,,,unphilos,0.14,0.02,0.13,0.07,0.47
Unpliable,,N,,,unpityin,-0.15,-0.22,0.19,0.39,-0.02
Unpoised,,C,,,unpleasa,-0.23,-0.05,0.29,0.12,-0.06
Unpolished,,C,,,unpliabl,0.01,0.03,0.15,0.32,-0.24
Unpolite,,C,,,unpoised,0.08,-0.44,0.24,-0.13,-0.04
Unpolitical,,,,,unpolish,0.12,-0.42,0.2,-0.07,-0.07
Unpreaching,,,,,unpolite,-0.12,-0.43,0.09,0.19,-0.1
Unpredictable,,,,,unpoliti,0.15,-0.14,0.09,-0.13,0.3
Unpresuming,,A,,,unpreach,0.23,-0.05,0.2,0.21,0.03
Unpretending,,,,,unpredic,-0.09,-0.23,-0.09,-0.11,-0.11
Unpretentious,,A,,,unpresum,0.34,-0.17,0.26,0.07,-0.12
Unprincipled,,C,,,unpretnd,0.24,0.09,0.1,0.11,-0.17
Unproductive,,C,,,unpretns,0.35,-0.14,0.22,0.01,-0.16
Unprogressive,,,,,unprinci,0.05,-0.43,0.06,0.14,0.02
Unprovincial,,,,,unproduc,0.11,-0.4,0.14,-0.01,0.19
Unpunctual,,C,,,unprogre,0.2,-0.18,0.18,-0.06,0.21
Unpurposed,,C,,,unprovin,0.28,-0.12,0.09,0.1,-0.18
Unquestioning,,O,,,unpunctu,0.13,-0.33,0.02,-0.02,-0.02
Unrealistic,,,,,unpurpos,0.1,-0.44,0.18,0.05,0.19
Unreasonable,,,,,unquesti,0.18,0.1,0.1,0,0.41
Unreasoning,,,,,unrealis,0.17,-0.29,-0.03,-0.26,0
Unreceptive,,,,,unreasnb,-0.17,-0.2,0.04,-0.2,-0.06
Unrefined,,C,,,unreasng,0.06,-0.23,-0.01,-0.16,0.24
Unreflective,,O,,,unrecept,-0.04,-0.14,0.19,-0.01,0.21
Unreined,,,,,unrefine,0.06,-0.41,0.13,0.02,-0.05
Unrelaxing,,N,,,unreflec,0.02,-0.02,-0.03,0.23,0.4
Unrelenting,,,,,unreined,-0.02,-0.23,-0.12,0.15,-0.15
Unreliable,,C,,,unrelaxi,-0.04,-0.01,0.23,-0.31,-0.05
Unreligious,,C,,,unrelent,-0.11,0,0.04,0.19,-0.17
Unrepressible,,O,,,unreliab,0.06,-0.51,0.01,0.04,0.06
Unreproachful,,,,,unreligi,-0.06,-0.3,0.17,0.15,-0.15
Unreserved,,E,,,unrepres,0.06,-0.2,-0.14,0.25,-0.34
Unrespectful,,C,O,,unreproa,0.32,-0.08,0.04,0.1,-0.11
Unresponsive,,E,,,unreserv,0.05,-0.26,-0.4,0.13,-0.12
Unresting,,,,,unrespec,-0.2,-0.37,0.05,0.2,-0.31
Unrestrainable,,,,,unrespon,0.01,-0.17,0.33,0.15,0.22
Unrestrained,,C,,,unrestin,-0.02,0,-0.02,0.07,-0.16
Unrevealing,,E,,,unrestrb,-0.1,-0.24,-0.17,0.15,-0.25
Unrevengeful,,A,,,unrestrn,-0.02,-0.31,-0.24,0.17,-0.14
Unromantic,,N,E,,unreveal,0.07,0,0.41,0.14,-0.02
Unrude,,A,,,unreveng,0.47,-0.02,-0.04,-0.01,0.03
Unruly,,,,,unromant,0.04,-0.21,0.31,0.4,0.09
Unsaintly,,,,,unrude,0.39,0.22,0.07,-0.05,0.04
Unsatisfiable,,,,,unruly,-0.26,-0.22,-0.16,0.05,-0.03
Unscholarly,,,,,unsaintl,0.06,-0.23,0.14,0.07,-0.14
Unschooled,,,,,unsatisf,-0.2,-0.16,0.15,-0.08,-0.19
Unscornful,,A,,,unscepti,0.35,-0.07,-0.14,-0.04,0.28
Unscrupulous,,,,,unschola,0.17,-0.32,0.05,0.03,0.21
Unsearching,,O,,,unschool,0.19,-0.21,0.07,0.05,-0.02
Unselfconscious,,N,E,,unscornf,0.44,-0.11,-0.08,0.15,0.06
Unselfish,,A,,,unscrupu,-0.05,-0.13,-0.07,0.04,0.12
Unsentimental,,N,,,unsearch,0.09,0.11,0.1,0.14,0.42
Unsevere,,A,,,unselfco,0.21,0.05,-0.3,0.32,-0.18
Unshakalile,,N,,,unselfis,0.35,0.27,-0.17,0.17,0.03
Unshrinking,,N,,,unsentim,0,-0.14,0.19,0.47,-0.03
Unshy,,E,,,unsevere,0.43,-0.14,0.08,0.12,0.04
Unskeptical,,A,,,unshakab,0.07,0.12,-0.02,0.42,-0.16
Unsly,,A,,,unshrink,0.11,0.05,-0.08,0.41,-0.26
Unsmiling,,E,,,unshy,0.06,-0.09,-0.51,0.22,-0.17
Unsociable,,E,,,unsly,0.44,-0.02,0.02,-0.05,-0.07
Unsocial,,E,,,unsmilin,-0.16,0.05,0.42,0.01,-0.11
Unsolemn,,,,,unsociab,-0.06,-0.17,0.56,0.03,-0.11
Unsolicitous,,,,,unsocial,0.07,-0.14,0.45,0.01,-0.17
Unsophisticated,,C,,,unsolemn,0.24,-0.21,-0.21,0.07,0.02
Unsparkling,,E,,,unsolici,0.12,0,0.1,0.14,-0.01
Unspeaking,,E,,,unsophis,0.24,-0.32,0.06,-0.07,0.01
Unspiritual,,,,,unsparkl,0.1,-0.09,0.6,0.06,0.03
Unspontaneous,,E,,,unspeaki,0.11,-0.03,0.5,0.05,0.13
Unsportsmanlike,,,,,unspirit,-0.04,-0.21,0.14,0.2,0.12
Unstable,,C,N,,unsponta,0.06,0.05,0.42,0.06,0.27
Unsteadfast,,C,,,unsports,-0.04,-0.14,0.18,-0.19,-0.01
Unstirrable,,N,,,unstable,0.01,-0.41,0.06,-0.35,-0.08
Unstormy,,A,,,unsteadf,0.04,-0.44,0.11,-0.26,0.06
Unstthduable,,,,,unstirra,0.15,-0.05,0.28,0.32,0.21
Unstudious,,C,,,unstormy,0.38,0.02,0.13,0.24,0.29
Unsubmissive,,N,,,unstudio,0.03,-0.47,0.06,0.08,0.18
Unsunny,,E,,,unsubdua,-0.09,-0.1,-0.08,0.31,-0.19
Unsure,,C,,,unsubmis,0.05,-0.07,-0.09,0.31,-0.29
Unsuspicious,,A,,,unsunny,0.04,0.02,0.52,0.05,-0.08
Unswayable,,N,,,unsure,0.11,-0.31,0.29,-0.43,0.13
Unswerving,,,,,unsuspic,0.46,-0.07,-0.18,0.07,0.03
Unsympathetic,,N,,,unswayab,0.07,0.25,-0.04,0.35,-0.18
Unsystematic,,C,,,unswervi,0.11,0.29,-0.01,0.22,-0.21
Untalkative,,E,,,unsympat,-0.18,-0.14,0.29,0.37,0
Untamable,,O,,,unsystem,0.17,-0.52,-0.1,-0.04,-0.01
Untasteful,,,,,untalkat,0.18,-0.01,0.63,0.02,0.1
Untaught,,,,,untamabl,-0.04,-0.21,-0.1,0.23,-0.39
Unteachable,,,,,untastef,0.05,-0.14,0.08,0.07,0.03
Untemptable,,,,,untaught,0.12,-0.2,0.06,-0.02,-0.06
Untender,,N,,,unteacha,0.04,-0.25,0.14,0.02,-0.05
Untheatrical,,,,,untempta,0.24,0.24,0.09,0.25,-0.07
Unthinking,,C,,,untender,-0.08,-0.16,0.25,0.37,0.12
Unthorough,,C,,,untheatr,0.18,0.11,0.28,0.08,0.11
Unthrifty,,,,,unthinki,0.11,-0.34,-0.05,-0.17,0.14
Untidy,,C,,,unthorou,0.17,-0.52,0.03,-0.04,0.18
Untiring,,N,,,unthrift,0.09,-0.28,0.01,-0.04,0
Untrained,,C,,,untidy,0.06,-0.49,0,0.02,-0.11
Untransparent,,,,,untiring,0.15,0.01,-0.06,0.32,-0.14
Untrustful,,,,,untraine,0.11,-0.36,0.16,0,-0.01
Untrustworthy,,C,,,untransp,0.07,-0.01,0.19,0.23,-0.06
Untruthful,,,,,untrustf,-0.03,-0.15,0.1,-0.05,-0.27
Untutored,,,,,untrustw,0.07,-0.31,0.01,-0.06,0.02
Unvacillating,,,,,untruthf,-0.07,-0.26,0.05,-0.07,0.08
Unvain,,,,,untutore,0.03,-0.16,-0.09,0.02,0.03
Unvaliant,,,,,unvacill,0.2,0.24,0.02,0.22,-0.2
Unvarying,,,,,unvain,0.29,0.06,0.11,0.13,-0.02
Unventurous,,E,,,unvalian,0.23,-0.17,0.21,-0.12,0.13
Unversed,,,,,unvaryin,0.21,0.23,0.17,0.21,0.11
Unvigilant,,,,,unventur,0.14,0.12,0.42,-0.25,0.23
Unvigorous,,,,,unversed,0.12,-0.19,0.17,-0.04,0.26
Unvindictive,,A,,,unvigila,0.09,-0.29,0.04,-0.11,0.17
Unvisioned,,,,,unvigoro,0.15,-0.01,0.14,-0.11,-0.02
Unvocal,,E,,,unvindic,0.54,-0.04,0.07,0.04,0
Unvoluptuous,,,,,unvision,0.2,-0.17,0.18,0.08,0.3
Unwarlike,,A,,,unvocal,0.24,0.05,0.52,0.08,0.22
Unwary,,,,,unvolupt,0.11,-0.07,0.22,0.08,-0.03
Unwasteful,,,,,unwarlik,0.47,0.08,0.09,0.01,0.16
Unwatchful,,,,,unwary,0.26,-0.08,-0.14,0.03,0.14
Unwavering,,N,,,unwastef,0.28,0.23,-0.01,0.14,0.02
Unwild,,E,,,unwatchf,0.11,-0.29,-0.09,-0.08,0.03
Unwiliful,,,,,unwaveri,0.14,0.23,-0.03,0.32,-0.06
Unwily,,A,,,unwild,0.4,0.17,0.35,0.06,0.09
Unwise,,C,,,unwillfu,0.27,-0.15,0.18,-0.04,0.15
Unwitty,,A,,,unwily,0.44,-0.11,0.08,-0.17,-0.03
Unworldly,,,,,unwise,0.18,-0.43,0,-0.28,-0.01
Unyielding,,,,,unwitty,0.33,-0.14,0.24,-0.16,0.12
Unzealous,,E,,,unworldl,0.2,-0.13,0.18,-0.17,0.04
Urbane,,C,,,unyieldi,-0.04,0.05,0.02,0.17,-0.23
Undiscourageable,,N,,,unzealou,0.14,-0.08,0.36,0.06,0.01
Undivertible,,,,,urbane,0.11,0.32,-0.02,-0.02,0.04
Vague,,C,,,vague,0.01,-0.32,0.19,-0.23,0.16
Vain,,,,,vain,-0.12,-0.1,-0.16,-0.15,0.02
Valiant,,,,,valiant,-0.11,0.15,-0.22,0.28,-0.11
Valorous,,,,,valorous,-0.15,0.2,-0.24,0.25,-0.07
Variable,,C,,,variable,0.01,-0.32,-0.02,-0.21,0.01
Vengeful,,A,,,vengeful,-0.53,-0.01,0.11,0.01,0.01
Venturesome,,N,,,ventures,0.05,-0.08,-0.28,0.36,-0.11
Venturous,,N,,,venturou,0.01,-0.05,-0.27,0.36,-0.06
Verbal,,E,,,verbal,-0.09,-0.04,-0.49,-0.03,-0.17
Verbose,,,,,verbose,-0.27,-0.01,-0.28,0.01,0.02
Versatile,,N,,,versatil,0.08,0.11,-0.15,0.33,-0.17
Vibrant,,E,,,vibrant,0.07,0.04,-0.55,0.03,-0.07
Vigorless,,E,,,vigorles,0.06,-0.05,0.37,-0.22,0.11
Vigorous,,E,N,,vigorous,0.01,0.1,-0.37,0.34,-0.08
Vindictive,,A,,,vindicti,-0.45,0.05,0.02,0.04,0.12
Violent,,A,,,violent,-0.41,-0.14,-0.01,0.05,-0.16
Virile,,N,,,virile,-0.25,-0.07,0.06,0.36,-0.08
Visionary,,,,,visionar,-0.15,0.11,-0.11,-0.04,-0.12
Vivacious,,E,,,vivaciou,0.17,0.01,-0.51,-0.08,-0.02
Vivid,,E,,,vivid,-0.02,0.04,-0.47,0.01,-0.18
Vocal,,E,,,vocal,-0.15,0,-0.56,-0.11,-0.16
Volatile,,,,,volatile,-0.24,-0.03,-0.19,-0.22,-0.1
Volcanic,,A,,,volcanic,-0.31,-0.05,-0.13,-0.18,-0.26
Voluptuous,,,,,voluptuo,0.02,0.08,-0.26,-0.06,0.03
Warlike,,A,,,warlike,-0.41,-0.02,-0.03,0.11,-0.15
Warm,,A,E,,warm,0.34,0.21,-0.32,-0.25,0
Warmhearted,,A,E,,warm_hea,0.39,0.19,-0.33,-0.22,0.07
Warmthless,,N,E,,warmthle,-0.08,-0.09,0.33,0.35,0.1
Wary,,,,,wary,-0.1,0.04,0.23,-0.04,-0.04
Wasteful,,,,,wasteful,-0.07,-0.27,0,-0.12,0.12
Weak-hearted,,N,,,weak_hea,0.08,-0.06,-0.02,-0.31,0.21
Weak-kneed,,N,,,weak_kne,0.06,-0.02,0.06,-0.43,0.01
Weak-spirited,,,,,weak_spi,0.1,-0.09,0.25,-0.19,0.28
Weariless,,N,,,weariles,0.03,0.04,-0.12,0.31,-0.01
Weepy,,N,,,weepy,0.05,0.08,0,-0.52,-0.05
Well-mannered,,C,,,well_man,0.23,0.45,0.04,-0.14,0.21
Well-read,,,,,well_rea,0.04,0.22,0,0.05,-0.29
Well-spoken,,,,,well_spo,0.09,0.27,-0.21,0.2,-0.11
Whimsical,,,,,whimsica,-0.02,-0.27,-0.24,-0.2,-0.16
Whiny,,N,,,whiny,-0.15,-0.04,0.01,-0.45,0.09
Wide-awake,,,,,wide_awa,0.14,0.19,-0.16,0.18,-0.16
Wild,,E,A,,wild,-0.32,-0.21,-0.35,0.1,-0.14
Willful,,,,,willful,-0.14,0.12,-0.19,0.04,-0.1
Wily,,A,,,wily,-0.4,0.01,-0.01,0.21,0.01
Wise,,C,,,wise,-0.01,0.37,-0.02,0.29,0.02
Wishful,,,,,wishful,-0.08,0.03,-0.02,-0.28,0.13
Wishy-washy,,,,,wishy_wa,0.03,-0.17,0.11,-0.29,0.16
Withdrawing,,E,,,withdraw,0.01,-0.05,0.62,-0.11,0.04
Withdrawn,,E,,,withdrwi,0.02,0.01,0.58,-0.24,-0.02
Witless,,,,,witless,0.28,-0.01,0.15,-0.13,0.24
Witty,,,,,witty,-0.14,0.07,-0.2,0.19,-0.15
Womanly,,N,A,,womanly,0.39,0.06,-0.17,-0.48,-0.1
Wordy,,E,,,wordly,-0.06,0.12,-0.17,0.17,-0.11
Worldly,,,,,wordly_w,-0.1,0.22,-0.03,0.19,-0.19
Worldly-minded,,,,,wordy,-0.14,-0.01,-0.35,-0.11,-0.05
Worldly-wise,,,,,world_we,-0.07,-0.02,0.21,-0.12,0.02
World-weary,,,,,worldly_,-0.04,0.1,-0.11,0.2,-0.1
Worriless,,N,,,worriles,0.21,0.06,-0.09,0.44,0.08
Worrying,,N,,,worrying,-0.08,-0.01,0.16,-0.51,-0.02
Worshipful,,,,,worshipf,0.05,0.26,-0.13,-0.14,0.13
Zany,,E,,,zany,-0.09,-0.27,-0.34,-0.05,-0.19
Zealless,,,,,zealless,-0.13,-0.12,0.21,-0.02,0.2
Zealous,,E,,,zealous,-0.01,0.11,-0.32,-0.04,-0.02
Zestful,,E,,,zestful,0.09,0.05,-0.45,0.08,-0.03
